id,sentence,difficulty
74,jai identifié trois peurs fondamentales du robot la crainte instinctive du métal contre la chair la crainte sociétale presque désespérée du robot qui va voler le travail de lhomme et enfin la crainte identitaire de voir le robot nous dépasser en capacités intellectuelles ou autres,C2
75,mais dautres pourront préférer lassassin des échecs ou les annales du kangourou editions du kangourou ,C2
76,vous ferez de la randonnée ,B1
77,il y a plus de 50 pays francophones ,A1
78,ils ont déjà lobligation de les ramener chez eux,B1
79,un autre  oui on leur a bien donné des noms,A2
80,vous joindrez à votre formulaire les pièces justificatives et documents sous format numérique,B2
81,merci bon voyage,A1
82,ce geste presque insensible lui fit courir de la tête aux pieds un grand frisson sur la peau et se tournant vivement il se jeta sur elle cherchant la bouche avec ses lèvres et la chair nue avec ses mains,C2
83,il clabaude aux esgourdes des blaireaux enfarinés et des tordus pasteurisés,C2
84,avec sa nouvelle compagne de quatorze ans sa cadette il dit vivre une renaissance,C1
85,entre ceux qui ne jurent que par lintroduction de linformatique dans lenseignement obligatoire et ceux qui ont peur que lon veuille transformer le primaire en une grande école dinformatique il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire au scolaire sans avoir à attendre une réforme du socle commun qui prendra des années,C2
86,parmi les acteurs du commerce équitable il faut distinguer les organismes labellisateurs qui certifient des filières dimportation par produit et les importateurs  grossistes détaillants ou réseaux de boutiques comme artisans du monde  qui ont leurs propres contacts avec les producteurs et sautocontrôlent faute de mieux,C1
87,elle peut donc ouvrir dautres réflexions et finalement devenir très enrichissante,B2
88,ce paysan pleurait et prétendait quon lui avait tout pris  fabrice lui donna un écu et il trouva de lavoine,B2
89,la première limite est que les instruments de contingentement spatial pris en compte donnent une idée de la maîtrise potentielle de lurbanisation maîtrise dérivant des possibilités fournies par le cadre légal et stratégique dont chaque canton sest doté,C2
90,le petit chat a plu à mes parents,A2
91,se prémunir contre laltération des données et avoir la certitude quelles nont pas été modifiées lors de leur stockage ou de leur traitement contribue à la qualité des prises de décisions basées sur cellesci,C2
92, nous sommes des joueursjoués3,B2
93,quand jai lu jai découvert de nouvelles choses surprenantes sur les locataires qui occupaient lappartement,B1
94,vous avez dit la seule chose intelligente ,A2
95,mon ami ne répond pas au téléphone,A1
96,mon frere patrice est plus jeune que moi,A2
97,ils sont en vacances il ny a que nous sur cette partie de lîle,B1
98,quand il y a des nuages avec de la neige qui tombe cest quil va neiger et quil peut y avoir du brouillard des risques de congélation de la glace et que la température sera très basse,B1
99,un escalier nous conduisit à une large coursive en hauteur qui faisait le tour du bâtiment desservant une succession de bureaux,C2
100,que vous cherchiez une simple annonce ou un recruteur vous êtes sûr de ne rater aucune offre demploi grâce à notre système dalerte personnalisé,B2
101,ça nous a donc coûté de largent sénervetelle,B1
102,vous vous appelez comment ,A1
103,fabrice à peine âgé de seize ans représentait fort bien le chef de la maison,B2
104,oui je suis à paris depuis vingt jours à peine,A1
105,lapprentissage du code et plus largement dune culture générale du numérique à lécole est une mesure réclamée depuis longtemps par lacadémie des sciences soutenue par des acteurs qui comptent dans le secteur numérique comme la cnil ou le conseil national du numérique et qui figure même dans une proposition de loi de la députée ump laure de la raudière,C2
106,pourquoi ne pas avoir donné la serviette alors que tu avais déjà les plans ,B1
107,quand je rentre je demande à mes parents si je peux tappeler pour avoir de tes nouvelles,A2
108,limportant évidemment pour les contribuables européens qui voudraient annuler leur dette cest que chacun des créditeurs des créanciers soit traité de la même façon,B2
109,même lambassadeur birman aux nations unies kyaw moe tun a rompu de manière spectaculaire avec les généraux putschistes la semaine dernière en appelant à mettre fin au coup detat,C1
110,le directeur aurait donné de nouvelles consignes au personnel,B2
111,vos regards mobservent,C2
112,de nombreux auteurs ont spéculé sur les différents aspects de la personnalité de léonard,C1
113,les conséquences sur la nature sont gravissimes notamment sur les océans qui contiendraient selon la revue américaine science plus de 110 millions de tonnes de déchets plastiques,B2
114,si sept millions de citadins rêvent de refaire leur vie aux champs tous ne passent pourtant pas à lacte il y a toujours un événement déclencheur constate la directrice de changer tout,B2
115,mon père bien quil observât strictement les convenances extérieures se permettait assez fréquemment des propos légers sur les liaisons damour  il les regardait comme des amusements sinon permis du moins excusables et considérait le mariage seul sous un rapport sérieux,C2
116,après tout que lui offretelle à part de lennui et une grosse boule dangoisse au creux du ventre ,A2
117,leur pavillon mitoyen à paris était pratiquement neuf quand ils lavaient acheté,B2
118,lémigration galicienne soustend lévolution du peuplement et lexplique en grande partie,C1
119,ces tanières se fondent dans la nature pour être quasiment invisibles,C1
120,les hommes se croient libres alors quils sont contraints ou déterminés par leur nature,C2
121,il fallait radicalement changer de cap en choisissant la cuisine de qualité accessible au plus grand nombre au lieu de quoi nous nous sommes repliés sur des valeurs sûres désormais désuètes et indigestes,B2
122,nos prophéties disent que tant quil y aura des bisons sauvages nous survivrons,C1
123,je mappelle camille et quand jetais enfant javais des reves plein la tete,A2
124,réaffirmant que le sénat ne sétait livré à aucun chantage contrairement aux allégations du rapporteur pour lassemblée nationale il a au contraire affirmé que la position de la haute assemblée relevait dune conception cohérente et constante de la société,C1
125,quelques coups de battoir partaient encore espacés au milieu des rires adoucis des conversations qui sempâtaient dans un bruit glouton de mâchoires  tandis que la machine à vapeur allant son train sans repos ni trêve semblait hausser la voix vibrante ronflante emplissant limmense salle mais pas une des femmes ne lentendait  cétait comme la respiration même du lavoir une haleine ardente amassant sous les poutres du plafond léternelle buée qui flottait la chaleur devenait intolérable  des rais de soleil entraient à gauche par les hautes fenêtres allumant les vapeurs fumantes de nappes opalisées dun gris rose et dun gris bleu très tendre  et comme des plaintes sélevaient le garçon charles allait dune fenêtre à lautre tirait des stores de grosse toile  ensuite il passa de lautre côté du côté de lombre et ouvrit des vasistas,C2
126,que du bonheur ,A2
127,on semble oublier que le personnel en milieu scolaire applique déjà cette mesure,B2
128,une association de promotion et de développement de lapprentissage en ligne note que si la calculatrice a supplanté le calcul mental y compris pour des opérations basiques et que lutilisation dun ordinateur relié à internet pourrait aisément remplacer une partie de notre mémoire les opérations basiques ont ont été mémorisées en amont et cest grâce à cette assimilation de connaissances basiques que lapprenant peut utiliser la calculatrice,C1
129,tous sauf un petit oiseau,A1
130,sa santé sest dégradée à cause dune infection sévère et ses jours sont comptés,B2
131,la chose me vient dêtre certifiée,B1
132,la nouvelle a fait grand bruit cette affaire de couvrefeu cache en fait une angoisse plus profonde,B1
133,jai le plaisir de vous annoncer que votre demande dinscription à luniversité de strasbourg en première année de master sciences et société a été acceptée,B1
134,une large majorité de français est favorable à la modification du calcul de la retraite des fonctionnaires dans le cadre de la réforme en préparation selon un sondage publié vendredi,C2
135,aussi les jeunes heureux réussissent à acheter leur autonomie et leur tranquillité par une réussite au lycée qui ne les dévore pas,B2
136,une fois quil a tout fini theo peut enfin aller jouer et samuser avant de diner avec ses parents,A2
137,la cinquantaine est un bel âge on gagne en profondeur et en bienveillance constate philippe wattier,C1
138,les quelques chiffres publiés à ce jour donnent une idée de la dégradation du climat entre les élèves des deux sexes,C1
139,mais une différence apparaît en fin de cursus scolaire les garçons prenant dans ce dernier domaine un avantage sur les filles,B2
140,le vert par exemple est la couleur de lherbe et des feuilles des arbres,A1
141,elle ne ressemble à aucune des filles que je connais,A2
142,les masses liquides transportent les plus grandes espèces connues de mammifères et peutêtre recèlentelles des mollusques dune incomparable taille des crustacés effrayants à contempler tels que seraient des homards de cent mètres ou des crabes pesant deux cents tonnes ,B2
143,force est de constater que lécart se creuse entre les pays en développement qui progressivement sortent de la pénurie chronique et ceux qui stagnent ou régressent dans leur combat contre la faim,C1
144,une huitième édition dominée par le duel au sommet avec alex thomson une course poursuite menée par armel depuis le 23 novembre dernier quarantesept jours de haute tension qui se terminent aujourdhui,C1
145,pourquoi on ne peut pas entrer dans la chambre ,A1
146,à très bientôt,A2
147,cétait cette comparaison tacitement et inlassablement répétée dans une même toile qui y introduisait cette puissante et multiforme unité cause parfois non clairement aperçue par eux de lenthousiasme quexcitait chez certains amateurs la peinture delstir,C2
148,soyons sérieux,B2
149,bienheureux le quidam que voilà débarrassé de cette peur originelle déchouer et de faire faux,C2
150,je prends le train,A1
151,cest dans sa lettre à schuller extraite de sa correspondance que spinoza dénonce lillusion du libre arbitre,C2
152,je prends mon petitdéjeuner dans la cuisine,A1
153,il nous arrive de procéder de cette façon de temps en temps,A2
154,alors quau cours du paléolithique la diffusion avait fractionné lécoumène en petits groupes la tendance depuis la fin de la dernière glaciation est à lépaississement des relations dans lancien monde par augmentation des effectifs et par tissage dinterconnexions,C2
155,or la croissance démographique concerne surtout les pays en voie de développement qui connaissent aujourdhui des problèmes de sousalimentation et de mauvaise alimentation,C1
156,je suis dans ma chambre,A1
157,une indéniable sérénité se reflétait sur ses traits,C2
158,le jour de lan correspond au 1 janvier,A1
159,étant féru dart yves saint laurent a constitué au fil des années une importante collection dobjets précieux et de peintures qui ont inspiré certaines de ses créations,C1
160,ils suivaient une sente creuse que dominait des deux côtés un talus de six pieds de haut,C2
161,je ne comprends pas,A1
162,mais à partir de ce moment elle nécouta plus  et le choeur des conviés la scène dashton et de son valet le grand duo en ré majeur tout passa pour elle dans léloignement comme si les instruments fussent devenus moins sonores et les personnages plus reculés  elle se rappelait les parties de cartes chez le pharmacien et la promenade chez la nourrice les lectures sous la tonnelle les têteàtête au coin du feu tout ce pauvre amour si calme et si long si discret si tendre et quelle avait oublié cependant,C2
163,et nos esprits qui reçoivent les instructions de ces organes diversement impressionnés comprennent analysent et jugent comme si chacun de nous appartenait à une autre race,C1
164,trop concrète peutêtre après le temps du rêve aucun terminus ne semble pour lécrivain pouvoir justifier davoir enduré tant de souffrances ni inciter à rompre avec le temps du vagabondage,C2
165,nous explorons la meilleure voie légale probablement via le système interaméricain en invoquant la déclaration des droits de lhomme de 1948,C1
166,à ce comptelà les cours de langue au collège pourraient être profitablement remplacés par des séances de mémorisation de lannuaire,C2
167,je préfère un autre bijou,A1
168,il na pas de veste,A1
169,un autre inconvénient à cette interdiction est le risque de priver les adolescents dun apprentissage sur lutilisation raisonnée dinternet et des réseaux sociaux,B2
170,le massacre est commémoré sur le drapeau de la ville de chicago par sa première étoile rouge,B1
171,je ne trouve pas la rue du marché,A1
172,fruit dune pensée élaborée depuis la renaissance lindividualisme est un projet de société dans lequel chacun devrait trouver les meilleures conditions de sa réalisation et de son épanouissement,C1
173,cette année ce nest pas moins de 12 millions délèves qui ont repris le chemin de lécole,A2
174,sébastien granet et hélène lavoie la cheffe nous ont accueillis malgré un autobus de visiteurs qui ripaillaient,C2
175,les parents qui ont du mal à couper le cordon sétonnent que leurs enfants préfèrent brancher leur boîte vocale et ne répondent pas à leurs appels,B2
176,cest pourquoi nous demandons aujourdhui que le président de la république tienne sa parole et soumette sans filtre les propositions de la convention au référendum au parlement ou à application réglementaire directe,C1
177,je ne trouve pas mes clés de maison,A1
178,les industriels polluent leau lair et les sols avec leurs produits toxiques,B2
179,il met son plus beau costume et son chapeau,B1
180,dabord la dernière élection présidentielle où le vote pour le front national fut autant le fait des jeunes électeurs que de leurs aînés,B2
181,selon un sondage publié en mai dernier par bva société française de sondages et le syntec numérique fédération professionnelle du secteur informatique favorable à la mesure 87  des français seraient même daccord pour que la programmation informatique soient enseignée à lécole 24  à partir du primaire 41  à partir du collège,C2
182,les parents de banlieue se sont organisés pour les devoirs des enfants,A2
183,vous attendîtes la surprise que vos parents vous eurent promise,C2
184,le duo na pas grand chose en commun mis à part ses positions relativement conservatrices qui lui vaut les foudres des progressistes,B2
185,or sur les quelque 6 000 langues qui existent actuellement dans le monde la moitié compte moins de 10 000 locuteurs et un quart moins de 1 000,C1
186,les passants semblent moins pressés et sattardent plus facilement devant une devanture ou dansles rayons,B2
187,a qui appartient le chien qui aboie nuit et jour ,B1
188,elle sait parler anglais et espagnol,A1
189,ce phénomène cest lapparition dune génération inédite,B2
190,après lambiance de luxe ici cest comme un tranquille village,B1
191,des chiffres tirés dune des rares enquêtes sur le sujet réalisée en 2000 publiée en 2001 par linstitut de recherche sur léconomie de léducation auprès des parents de 2 500 enfants de lacadémie,C2
192,monet peignit ce portrait emplit de sensualité et lourd de symbolisme,C1
193,elle pense à lui,A1
194,oui louragan a touché terre la nuit dernière dans le nord du nicaragua il sest ensuite étendu à plusieurs pays damérique centrale,B1
195,je viens demmenager dans ma nouvelle maison,A2
196,de toute façon chacun sait que pour choisir son logement idéal cela peut prendre plusieurs mois,B1
197,parmi les habitants de la région il y a ceux qui veulent revenir et ceux qui ne veulent pas,A2
198,nous apportons des arguments experimentaux et théoriques en faveur dun mecanisme intramoleculaire,C2
199,on choisit la date le lieu et le projet qui nous intéressent on paye et on part ,B1
200,dans les campagnes cest différent ,A2
201,faites des groupes de trois personnes,A1
202,la salle craquait sous les bravos  on recommença la strette entière  les amoureux parlaient des fleurs de leur tombe de serments dexil de fatalité despérances et quand ils poussèrent ladieu final emma jeta un cri aigu qui se confondit avec la vibration des derniers accords,C2
203,le président a promis quil tiendrait toutes ses promesses,B1
204,quallezvous faire demain ,B1
205,où se trouve le supermarché,A1
206,il donna cette feuille à lalouette et lui ordonna de la laisser tomber sur la tête du dragon,A2
207,je vous conseille découter deux fois cette histoire avant de passer à la suite,A2
208,après 22 ans de vie parisienne cet ancien designergraphiste a décidé de se consacrer à sa passion de toujours  la cuisine,C1
209,je ne veux plus le voir parce quon sest disputés la dernière fois que lon sest vus,A2
210,en france si je parle anglais à mon fils mathias il me répond plutôt en français,B1
211,nous les mangeons ensemble le samedi soir,A1
212,ça veut dire sapeurspompiers,C1
213,les sexagénaires sont jeunes,B2
214,et le vieux chef a toujours raison car cest le seul qui parle aux dieux,B1
215,jai cherché à te joindre il y a une heure,A2
216,cela nécessite des équipements et suffisamment de place,B2
217,jai soif,A1
218,léonard de vinci a eu beaucoup damis qui sont reconnus dans leurs domaines respectifs ou ont eu une influence importante sur lhistoire,B2
219,lincarnation nous met en présence de limmuable qui est par luimême quelque chose de général et cet immuable revêtant le caractère de lindividualité ce caractère même devient quelque chose duniversel,C2
220,vous avez une réduction ,A1
221,je naime pas la pluie surtout pendant les vacances,A1
222,je serai ravi de taccueillir,A2
223,le petit chat plaît à mes parents,A2
224,comme lenfant séparé de sa mère trouve dans son doudou un moyen de se rassurer le smartphone objet transitionnel ne permettraitil pas de lutter contre les frustrations et affects négatifs provoqués par le monde social ,C2
225,twitter va bannir les utilisateurs en cas de désinformation répétée sur les vaccins,B2
226,cest de manière plus générale et de façon indiscutable le meilleur joueur du monde,B1
227,cette fin des grands récits est largement celle où les lieux étaient classés par étapes  la succession des modes de production marxistes en représentait la version la plus formalisée mais parler de sousdéveloppement ou de décollage sinscrivait dans le même paradigme évolutionniste,C2
228,ici le travail est un châtiment divin imposé par dieu aux hommes pour les punir de leur désobéissance,C2
229,même sans se considérer forcément comme un cyberaddict tout un chacun peut sinspirer de ces techniques pour y puiser des conseils,C2
230,ils sont pas chers,A1
231,je sais quelle vit seule avec son père mais je ne lui ai jamais demandé pourquoi,B1
232,ces deux étapes se caractérisent pas la difficulté éprouvée par le couple devant les choix quimpose léducation de leurs enfants école religion langue,C2
233,ainsi linaltérable patience de robots instituteurs en corée du nord et au japon convient elle aux enfants autistes mais nul ne sait comment évolueront les autres enfants qui napprennent pas à composer avec les humeurs dun professeur humain,C1
234,la communauté scientifique apprécie peu la présence de femmes,B2
235,les anciennes générations sont beaucoup plus conservatrices que les jeunes générations,B2
236,etesvous à la maison ,A1
237,quand les rencontrer,A2
238,entre ceux qui ne jurent que par lintroduction de linformatique comme un enseignement obligatoire et ceux qui ont peur que lon veuille transformer le primaire en une prépa à lecole 42 il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire au scolaire sans avoir à attendre une réforme du socle commun qui prendra des années,C2
239,un message durgence des pompiers vient de tomber ,A2
240,jétais donc lycéen et pompier à la fois,A2
241,un journaliste de art press a interviewé agathe sur la performance dans laquelle elle a participé,B2
242,je ne crois pas que les enfants vont réussir,A2
243,cest vrai quils sont très bons mais jai peur quil tombe malade,B1
244,cest daccord pour samedi je viens avec ma soeur katrine,A1
245,les cyanobactéries se distinguent des bactéries par la présence de chlorophylle a et de pigments accessoires hydrosolubles les phycobilines rouge et bleue,C1
246,cellesci ninflueront sur la recherche scientifique que vers le milieu du xviie siècle et lon peut il me semble attribuer au grand naturaliste réaumur le mérite den avoir tiré les premières conséquences expérimentales dans ses recherches sur la prolongation de la vie chez les insectes,C2
247,même à luniversité les études sont trop focalisées et seuls 5  des étudiants qui ont un doctorat occuperont une fonction académique,C2
248,et si boire chaud donne chaud cest un mal pour un bien car la température élevée du liquide augmente la température interne du corps et stimule ainsi la transpiration,B1
249,le soir venu il faut rentrer en prenant le même chemin que le matin,A2
250,je suis vraiment plus dans le flow,A2
251,lélastique sest distendu,B1
252,cet auteur tellement lu pour sa grammaire impertinente propose aussi des jeux pour lire vite retz,C2
253,des coutumes similaires ont existé autrefois notamment dans le finistère  les enfants samusaient à creuser des betteraves au moment de la toussaint pour faire peur aux gens du voisinage,B2
254,elle ressemble à un bébé tigre mais cest un tigre qui a très peur,A2
255,de nombreux indicateurs lui permettent de suivre lévolution de la situation et au fur et à mesure que lépidémie se propage de nouveaux outils deviennent nécessaires pour avoir une vision globale de la situation,C1
256,alice a un chien,A1
257,pierre qui roule namasse pas mousse,C1
258,elle nétait pas là,A1
259,des réponses aux questions que lon se pose sur soi et sur les autres,A2
260,cependant la responsable du service nous a confirmé que les conditions daccueil et de délivrance de vos documents administratifs mit été respectées selon les normes établies par notre ministère,C2
261,lensemble des jeunes ,A2
262,il avait pris sa belle valise verte quil trimballe depuis vingt ans pour passer cinq jours de vacances près de vannes chez sa vieille amie sylvaine quil voyait beaucoup avant de vivre à valencienne,B1
263,ensuite on ira au cinéma du quartier qui organise tous les ans des séances spéciales,C1
264,les résultats de deux études sur les métriques utilisées par les entreprises pour évaluer leur capital intellectuel,C2
265,la ville entière sest illuminée autour du marché de noël qui enchante les passants de ses illuminations réchauffant les coeurs dans le froid de lhiver,B2
266,si vous êtes intéressé appelezmoi,A1
267,la retraite les quinquas daujourdhui limaginent active forcément active,C1
268,mon père a eu une mutation pour venir travailler à paris,A1
269,on peut aussi aller au théâtre dans les musées ou au cinéma,A1
270,je suis encore au bureau je vais rentrer plus tard,A1
271,on va manger dans le jardin,A1
272,il aurait vidé de même une barrique entière lui semblaitil  il aurait mangé un boeuf étranglé un lion,B2
273,une feuille prise dun arbre du paradis sur laquelle est écrite un mot en lettres dor par le père éternel,A2
274,ne tinquiète pas tu vas vite thabituer à ta nouvelle vie,A2
275,les réseaux sociaux sont lobjet dun étonnant paradoxe,B2
276,cest là un enrichissement culturel car lenfant peut alors souvrir à travers cette langue différente à des traits typologiques présents dans beaucoup dautres langues sur lesquels le bilinguisme breton français offre un accès indirect,C2
277,vous avez bien étudié et vous avez réussi facilement,A2
278,le journal na pas expliqué comment ce prisonnier sest évadé,B1
279,il ne la connaît pas bien alors il demande à ses autres collègues,A1
280,lanecdote est révélatrice,B2
281,cest lannée où les centaines de milliers de babyboomers nés lors du pic des naissances de 1946 arriveront à la retraite,B2
282,pour y aller descendez à la station musée du louvre prenez à droite et continuez tout droit,A1
283,loriginalité du mécanisme est dutiliser des photons et de les convertir en énergie chimique qui se retrouve dans lénergie de liaison des atomes de carbone et dhydrogène dans les glucides formés,C1
284,par ailleurs 42  des adolescents déclarent quils seraient dévastés sils devaient quitter leur foyer plusieurs jours sans leur téléphone,B2
285,et toi tu es toujours cuisinier ,A1
286,en les mélangeant on peut former dautres couleurs le vert par exemple est la couleur de lherbe et des feuilles des arbres,B1
287,enfin selon le haut conseil en santé publique les lieux diffusant de la musique amplifiée ne doivent pas dépasser le niveau moyen de 105 db durant quinze minutes ce qui est rarement respecté,B2
288,les dettes relevées au niveau individuel sont attribuées solidairement à lensemble des membres du ménage les résultats diffusés indiquant ainsi les pourcentages de la population vivant dans un ménage avec le ou les types de dettes considérés,C1
289,elle a un physique ingrat,B1
290,le grand meaulnes jeta son chapeau par terre et je vis quil avait les cheveux complètement ras comme un paysan,B2
291,en 1985 léconomiste japonais ohmae kenichi invente la formule commode de triade pour décrire la nouvelle polarisation du monde,C1
292,létude de linfluence de chaînes ramifiées courtes sur le métabolisme des xénobiotiques est développée en deux parties,C2
293,la manière dont le monde fut construit à partir des grandes découvertes est donc largement responsable de sa géographie contemporaine,C2
294,je les ai subis et je les ai fait subir a mes enfants jusqua ce que jose men affranchir resume cet inventeur de produits plus ludiques,C2
